sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms
1.1,4,CECO,HP,-2.846,87.14517437,0,11.0,135.0,421.0,556.0,11.0,540.0,108.0,2,272,0,270.5,0,1.4728,1,2020,October,12.4561,12.671,0.2149,1,12.2095,6.0
1.1,1,CADE,HP,-0.336,150.9893892,0,30.0,101.0,0.0,101.0,23.0,138.0,115.0,1,271.6,272.3,247.2,0,4.1158,0,2020,October,7.5583,8.0848,0.5265,1,7.2096,1.0
1.1,3,CADE,HP,-2.297,110.8921645,0,33.0,114.0,0.0,114.0,22.0,143.0,121.0,1,240.6,307.1,262.6,0,4.2921,1,2020,October,12.9307,13.6454,0.7147,1,12.2862,4.0
1.1,9,CECO,EPI,-6.78,0,no lfm,14.0,6.0,28.0,34.0,9.0,162.0,125.0,1,279.5,332.6,268,0,0.5569,1,2020,October,0,0,0,1,0,-68058.0
1.1,6,CADE,HP,-2.875,87.37652528,0,35.0,81.0,0.0,81.0,48.0,185.0,137.0,1,236.6,343.4,232.2,0,4.643,0,2020,October,12.8819,13.4834,0.6015,1,12.1935,3.0
1.1,2,ABCO,HP,-0.698,182.6067812,0,44.0,168.0,0.0,168.0,15.0,153.0,138.0,1,265.3,444.8,270.3,0,7.8281,0,2020,October,7.6631,8.4925,0.8294,1,7.2089,-13332.0
1.1,2,CADE,HP,-1.271,121.1375212,0,39.0,168.0,0.0,168.0,15.0,155.0,140.0,1,229.9,278.1,263.6,0,3.9848,0,2020,October,7.7157,8.2865,0.5708,1,7.2445,3.0
1.1,7,CECO,EPI,-8.25,35.65905413,0,11.0,9.0,19.0,28.0,9.0,169.0,141.0,1,268.6,294.9,266.6,0,0.4911,1,2020,October,12.7393,12.9376,0.1983,1,12.1832,-37360.0
1.1,6,PIJE,HP,-3.609,131.6837658,0,0.0,53.0,7.0,60.0,60.0,215.0,148.0,1,267.4,275.1,264.8,100,6.6647,1,2020,October,7.4009,7.6191,0.2182,1,7.2352,19.0
1.1,6,ARPA,HP,-4.008,88.39779006,0,30.0,41.0,0.0,41.0,23.0,172.0,149.0,1,236.2,397.9,251.6,0,4.6885,0,2020,October,12.6946,13.2866,0.592,1,12.0249,5.0
1.1,4,ARPA,HP,-3.025,95.97623548,0,33.0,86.0,11.0,97.0,10.0,188.0,167.0,1,267.7,308.6,296.7,0,2.7459,1,2020,October,7.758,8.1134,0.3554,1,7.3877,2.0
1.1,1,CECO,HP,-0.486,110.6707317,0,22.0,547.0,0.0,547.0,11.0,194.0,183.0,2,256,301.2,298.1,0,1.4616,0,2020,October,7.4079,7.5894,0.1815,1,7.2439,4.0
1.1,8,ARPA,HP,-5.761,71.06050532,0,29.0,33.0,0.0,33.0,19.0,260.0,241.0,1,250.1,340,267.2,0,3.5604,0,2020,October,7.7799,8.2074,0.4275,1,7.1783,2.0
1.1,7,ARPA,HP,-4.802,76.06521441,missing flam weight,0.0,-597.0,0.0,-597.0,0.0,960.0,960.0,0,206.7,0,0,0,0,0,2020,October,12.9289,13.4841,0.5552,1,12.199,0.0
1.1,5,QUKE,EPI,-1.432,131.9553806,0,0.0,5.0,-953.0,-948.0,0.0,62.0,1015.0,0,273.5,0,0,0,0.5044,1,2020,October,7.3816,7.5827,0.2011,1,7.2292,0.0
1.1,6,QUKE,EPI,-4.962,94.57466421,0,0.0,1.0,-3930.0,-3929.0,0.0,55.0,3985.0,0,280.2,0,0,0,0.4582,1,2020,October,12.5236,12.8827,0.3591,1,12.1439,0.0
1.1,6,QUKE,HP,-4.962,94.57466421,0,0.0,-3771.0,0.0,-3771.0,0.0,4187.0,4187.0,0,214.6,0,0,0,0.959,0,2020,October,12.5236,12.8827,0.3591,1,12.1439,0.0
1.1,1,ABCO,EPI,-0.208,187.3278237,0,0.0,30.0,-7148.0,-7118.0,0.0,96.0,7244.0,0,265.9,0,0,95,0.5775,1,2020,October,7.646,8.462,0.816,1,7.2104,0.0
1.1,1,PIJE,EPI,-0.059,138.7149918,0,0.0,10.0,-8133.0,-8123.0,0.0,106.0,8239.0,0,263.2,0,0,100,0.5015,1,2020,October,12.8318,13.8422,1.0104,1,12.1034,0.0
1.1,2,PIJE,EPI,-1.014,170.0417537,0,0.0,27.0,-13198.0,-13171.0,0.0,88.0,13286.0,0,267.9,0,0,100,0.4965,1,2020,October,12.5846,13.2362,0.6516,1,12.2014,0.0
1.1,2,ABCO,EPI,-0.698,182.6067812,0,0.0,27.0,-13250.0,-13223.0,0.0,106.0,13356.0,0,294.4,0,0,0,0.5377,1,2020,October,7.6631,8.4925,0.8294,1,7.2089,0.0
1.1,7,QUKE,EPI,-6.166,72.09042702,0,0.0,5.0,-17519.0,-17514.0,0.0,66.0,17585.0,0,283.4,0,0,0,0.4943,1,2020,October,12.3839,12.6422,0.2583,1,12.0256,0.0
1.1,3,PIJE,EPI,-2.039,149.3767591,0,0.0,15.0,-19730.0,-19715.0,0.0,73.0,19803.0,0,269.1,0,0,100,0.5051,1,2020,October,12.5034,12.8749,0.3715,1,12.2547,0.0
1.1,8,QUKE,EPI,-7.126,52.60586319,0,0.0,1.0,-29475.0,-29474.0,0.0,86.0,29561.0,0,280.8,0,0,0,0.5153,1,2020,October,7.3309,7.3955,0.0646,1,7.2081,0.0
1.1,8,ARPA,EPI,-5.761,71.06050532,0,0.0,18.0,-31844.0,-31826.0,0.0,67.0,31911.0,0,279.2,0,0,0,0.5261,1,2020,October,7.7799,8.2074,0.4275,1,7.1783,0.0
1.1,5,PIJE,HP,-2.891,137.5366569,0,0.0,126.0,-32157.0,-32031.0,0.0,402.0,32559.0,0,268.7,0,0,100,3.4598,1,2020,October,7.2952,7.5297,0.2345,1,7.1247,0.0
1.1,3,ABCO,EPI,-0.987,167.4635332,0,0.0,36.0,-32783.0,-32747.0,0.0,117.0,32900.0,0,270.6,0,0,0,0.5127,1,2020,October,7.6714,8.498,0.8266,1,7.1778,0.0
1.1,4,CECO,EPI,-2.846,87.14517437,0,0.0,8.0,-38936.0,-38928.0,0.0,180.0,39116.0,0,265.3,0,0,0,0.5759,1,2020,October,12.4561,12.671,0.2149,1,12.2095,0.0
1.1,4,ARPA,EPI,-3.025,95.97623548,0,0.0,16.0,-42038.0,-42022.0,0.0,76.0,42114.0,0,291.5,0,0,0,0.4336,1,2020,October,7.758,8.1134,0.3554,1,7.3877,0.0
1.1,6,ARPA,EPI,-4.008,88.39779006,0,0.0,11.0,-42906.0,-42895.0,0.0,99.0,43005.0,0,278.8,0,0,0,0.5745,1,2020,October,12.6946,13.2866,0.592,1,12.0249,0.0
1.1,1,CECO,EPI,-0.486,110.6707317,0,0.0,19.0,-50484.0,-50465.0,0.0,93.0,50577.0,0,282.1,0,0,0,0.4616,1,2020,October,7.4079,7.5894,0.1815,1,7.2439,0.0
1.1,5,ARPA,EPI,-1.674,99.60955443,0,0.0,12.0,-57700.0,-57688.0,0.0,76.0,57776.0,0,275.3,0,0,0,0.4703,1,2020,October,7.6286,8.0623,0.4337,1,7.1932,0.0
1.1,1,QUKE,EPI,-0.21,136.4646465,0,0.0,7.0,-59537.0,-59530.0,0.0,34.0,59571.0,0,270.5,0,0,0,0.4389,1,2020,October,7.2913,7.4264,0.1351,1,7.1923,0.0
1.1,1,QUKE,HP,-0.21,136.4646465,0,0.0,225.0,-59684.0,-59459.0,0.0,208.0,59892.0,0,250.3,0,0,0,0.6213,1,2020,October,7.2913,7.4264,0.1351,1,7.1923,0.0
1.1,2,CECO,EPI,-1.005,101.8812463,0,0.0,16.0,-61682.0,-61666.0,0.0,219.0,61901.0,0,277.8,0,0,0,0.4943,1,2020,October,7.3798,7.5531,0.1733,1,7.2097,0.0
1.1,3,QUKE,EPI,-3.001,122.8304406,0,0.0,2.0,-69426.0,-69424.0,0.0,44.0,69470.0,0,275.8,0,0,0,0.4483,1,2020,October,7.3994,7.5834,0.184,1,7.2496,0.0
1.1,3,QUKE,HP,-3.001,122.8304406,0,0.0,47.0,-69325.0,-69278.0,0.0,313.0,69638.0,0,232.2,0,0,0,0.7137,1,2020,October,7.3994,7.5834,0.184,1,7.2496,0.0
1.1,2,ARPA,HP,-2.051,110.3286385,0,0.0,159.0,-71128.0,-70969.0,0.0,248.0,71376.0,0,229.1,0,0,0,4.3425,1,2020,October,7.7536,8.3881,0.6345,1,7.1785,0.0
1.1,6,CECO,EPI,-4.418,67.19626168,0,0.0,6.0,-74593.0,-74587.0,0.0,179.0,74772.0,0,279.5,0,0,0,0.5,1,2020,October,7.4933,7.709,0.2157,1,7.1723,0.0
