author,year,heating.notes,heating.temp,heating.irradiance,second.heating,sample.size.description,sample.weight,sample.length.cm,sample.area.cm,sample.volume.cm,epiradiator,wind.tunnel,muffle.furnace,MLC,xylene.lattice,fire.bench,grill,oxygen.bomb.calorimeter,steel.ring.litter.bed,tray,FFB,FPA,cone.calorimeter,bunsen.burner,other,intermediate.scale.calorimeter,duplicate,model,notes
Marino et al,2011,NA,,,,ground-up pellets,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Y,tray,
Marino et al,2011,NA,,,,reconstructed fuel samples on a wagon,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WT,
Batista et al,2012,500W constant nominal power rating; 250 C,250,63.66,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Blackhall et al,2012,420 C surface temperaturre,420,,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Page et al,2012,500 W; 6 W/cm2,,60,,Epi: 3g (dry),3,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Pausas et al,2012,500W; 640-660 C,650,63.66,,0.40 +/- 0.17 g (mean +/- SD),0.4,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
de Magalhaes and Schwilk,2012,NA,,,,450g,450,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,FB,
Ganteaume et al,2012,NA,,,,?,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,FB,"aluminum tray placed on burn table. so kind of both, but since it is closer to burn table than just putting litter bed in tray and placing ignition source in middle of tray, I chose burn table. Did not make sense to do both."
Simeoni et al,2012,NA,,,,10-20g,15,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N,FPA,
Madrigal et al,2012,50 kW per m2,,50,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Y,MLC,
Madrigal et al,2012,NA,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
Page et al,2012,NA,,,,"bomb: 1g (?, not listed clearly!)",1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
van Altena,2012,NA,,,,25cm diameter x 3cm deep,,,,4626.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,SR,
Jolly et al,2012,50 kW per m2,,50,,4g,4,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WT,
Madrigal et al,2012,NA,,,,whole plant,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WT,
McAllister et al,2012,50 kW per m2,,50,,4-6g,5,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WT,
Engber and Varner,2012,NA,,,,15g,15,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,XL,
