individual_round,individual_epi,sample_epi,round_epi,spp_epi,model_epi,mpa_epi,lfm_epi,lfm_notes_epi,fh_epi,ttfg_epi,gti_epi,tti_epi,fd_epi,gd_epi,pfg_epi,ignition_epi,start_temp_epi,temp_max_epi,ignition_temp_epi,prop_new_epi,sample_wt_epi,glow_epi,year_month_epi,year_epi,month_epi,dry_wt_epi,fresh_wt_epi,water_wt_epi,site_epi,location_epi,individual_hp,sample_hp,round_hp,spp_hp,model_hp,mpa_hp,lfm_hp,lfm_notes_hp,fh_hp,ttfg_hp,gti_hp,tti_hp,fd_hp,gd_hp,pfg_hp,ignition_hp,start_temp_hp,temp_max_hp,ignition_temp_hp,prop_new_hp,sample_wt_hp,glow_hp,year_month_hp,year_hp,month_hp,dry_wt_hp,fresh_wt_hp,water_wt_hp,site_hp,location_hp
2020_October_ARPA_1.1_3,2020_October_ARPA_1.1,1.1,3,ARPA,EPI,-3.432,134.1844398,0,27,17,3,20,4,63,56,1,266.6,304.1,264.2,0,0.5227,1,2020_October,2020,October,7.5839,8.0306,0.4467,1,seki,2020_October_ARPA_1.1,1.1,3,ARPA,HP,-3.432,134.1844398,0,36,0,0,0,0,0,0,2,155.5,248.2,179,0,4.4451,0,2020_October,2020,October,7.5839,8.0306,0.4467,1,seki
2020_October_ARPA_1.1_4,2020_October_ARPA_1.1,1.1,4,ARPA,EPI,-3.025,95.97623548,0,0,16,-42038,-42022,0,76,42114,0,291.5,0,0,0,0.4336,1,2020_October,2020,October,7.758,8.1134,0.3554,1,seki,2020_October_ARPA_1.1,1.1,4,ARPA,HP,-3.025,95.97623548,0,33,86,11,97,10,188,167,1,267.7,308.6,296.7,0,2.7459,1,2020_October,2020,October,7.758,8.1134,0.3554,1,seki
2020_October_ARPA_1.1_5,2020_October_ARPA_1.1,1.1,5,ARPA,EPI,-1.674,99.60955443,0,0,12,-57700,-57688,0,76,57776,0,275.3,0,0,0,0.4703,1,2020_October,2020,October,7.6286,8.0623,0.4337,1,seki,2020_October_ARPA_1.1,1.1,5,ARPA,HP,-1.674,99.60955443,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8759,0,2020_October,2020,October,7.6286,8.0623,0.4337,1,seki
2020_October_ARPA_1.1_6,2020_October_ARPA_1.1,1.1,6,ARPA,EPI,-4.008,88.39779006,0,0,11,-42906,-42895,0,99,43005,0,278.8,0,0,0,0.5745,1,2020_October,2020,October,12.6946,13.2866,0.592,1,seki,2020_October_ARPA_1.1,1.1,6,ARPA,HP,-4.008,88.39779006,0,30,41,0,41,23,172,149,1,236.2,397.9,251.6,0,4.6885,0,2020_October,2020,October,12.6946,13.2866,0.592,1,seki
2020_October_ARPA_1.1_7,2020_October_ARPA_1.1,1.1,7,ARPA,EPI,-4.802,76.06521441,0,10.5,5,31,36,1,99,67,1,279.4,287.7,250,0,0.5317,1,2020_October,2020,October,12.9289,13.4841,0.5552,1,seki,2020_October_ARPA_1.1,1.1,7,ARPA,HP,-4.802,76.06521441,missing flam weight,0,-597,0,-597,0,960,960,0,206.7,0,0,0,0,0,2020_October,2020,October,12.9289,13.4841,0.5552,1,seki
2020_October_ARPA_1.1_8,2020_October_ARPA_1.1,1.1,8,ARPA,EPI,-5.761,71.06050532,0,0,18,-31844,-31826,0,67,31911,0,279.2,0,0,0,0.5261,1,2020_October,2020,October,7.7799,8.2074,0.4275,1,seki,2020_October_ARPA_1.1,1.1,8,ARPA,HP,-5.761,71.06050532,0,29,33,0,33,19,260,241,1,250.1,340,267.2,0,3.5604,0,2020_October,2020,October,7.7799,8.2074,0.4275,1,seki
2020_October_ARPA_1.2_1,2020_October_ARPA_1.2,1.2,1,ARPA,EPI,-0.109,112.1722846,0,17,13,17,30,4,452,431,1,273.9,277.6,251.8,0,0.5472,1,2020_October,2020,October,7.5641,7.9235,0.3594,1,seki,2020_October_ARPA_1.2,1.2,1,ARPA,HP,-0.109,112.1722846,0,21,50,0,50,33,329,296,1,228.8,286.3,249.7,0,3.1326,0,2020_October,2020,October,7.5641,7.9235,0.3594,1,seki
2020_October_ARPA_1.2_2,2020_October_ARPA_1.2,1.2,2,ARPA,EPI,-1.859,110.7378401,0,5,3,42,45,4,117,71,1,263.8,276.8,253.4,0,0.5848,1,2020_October,2020,October,7.7409,8.2782,0.5373,1,seki,2020_October_ARPA_1.2,1.2,2,ARPA,HP,-1.859,110.7378401,0,21,47,0,47,47,138,91,1,212.5,413.5,241.4,0,5.5904,0,2020_October,2020,October,7.7409,8.2782,0.5373,1,seki
2020_October_ARPA_1.2_4,2020_October_ARPA_1.2,1.2,4,ARPA,EPI,-2.006,145.1628825,0,0,17,-42341,-42324,0,86,42427,0,271.1,0,0,0,0.4309,1,2020_October,2020,October,7.6406,8.2288,0.5882,1,seki,2020_October_ARPA_1.2,1.2,4,ARPA,HP,-2.006,145.1628825,0,28,40,0,40,26,175,149,1,271.7,283.6,266.6,0,3.2441,0,2020_October,2020,October,7.6406,8.2288,0.5882,1,seki
2020_October_ARPA_1.2_6,2020_October_ARPA_1.2,1.2,6,ARPA,EPI,-4.9,82.86189684,0,0,14,-43147,-43133,0,100,43247,0,276.4,0,0,0,0.5467,1,2020_October,2020,October,12.6388,13.0372,0.3984,1,seki,2020_October_ARPA_1.2,1.2,6,ARPA,HP,-4.9,82.86189684,0,25,32,0,32,25,26,1,1,252.6,337.9,238.1,0,3.6122,0,2020_October,2020,October,12.6388,13.0372,0.3984,1,seki
