individual_round,individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_CECO_1.6_3,2020_October_CECO_1.6,1.6,3,"2020_October_EPI_CECO_(50,60]",CECO,EPI,1.841,0,2.8,9,26,35,1,94,67,1,276.4,299.8,291.8,NA,0.4957,1,2020_October,2020,October,12.2821,12.3738,0.0917,1,57.74559194,57.74559194,"(50,60]",2020_October,0.61,Dry,1,70,10,dry,"(55,60]","(50,60]","(40,60]",23.40000000000003,0.9925891803649648,0.5774559194,133.93784078516902,11.645861871858363,-0.138,seki
2020_October_CECO_1.6_5,2020_October_CECO_1.6,1.6,5,"2020_October_EPI_CECO_(80,90]",CECO,EPI,4.08,0,0.5,14,27,35,4,171,106,1,278.2,296.9,295.6,NA,0.4601,1,2020_October,2020,October,7.4486,7.6253,0.1767,1,83.7044055,83.7044055,"(80,90]",2020_October,0.61,Dry,1,57,2.5,moderate,"(80,85]","(80,90]","(80,100]",18.69999999999999,0.9768271412272304,0.8370440549999999,42.153933220147145,10.554308225147858,-0.138,seki
2020_October_CECO_1.6_6,2020_October_CECO_1.6,1.6,6,"2020_October_EPI_CECO_(50,60]",CECO,EPI,9,0,20,5,17,22,7,81,57,1,277.9,347.7,264.6,NA,0.4845,1,2020_October,2020,October,7.5101,7.6603,0.1502,1,57.43785851,57.43785851,"(50,60]",2020_October,0.61,Dry,1,70,1.4285714285714286,dry,"(55,60]","(50,60]","(40,60]",69.80000000000001,0.9803924128297848,0.5743785851,50.00066577896139,20.18130413381635,-0.138,seki
2020_October_CECO_1.6_7,2020_October_CECO_1.6,1.6,7,"2020_October_EPI_CECO_(80,90]",CECO,EPI,5.326,0,7,2,27,35,7,208,130,1,276.9,373.2,306.6,NA,0.6111,1,2020_October,2020,October,12.7826,13.193,0.4104,1,86.60054864,86.60054864,"(80,90]",2020_October,0.61,Dry,1,57,1.4285714285714286,moderate,"(85,90]","(80,90]","(80,100]",96.3,0.96889259455772,0.8660054864,31.146686159844055,13.348488460386385,-0.138,seki
2020_October_CECO_2.1_1,2020_October_CECO_2.1,2.1,1,"2020_October_EPI_CECO_(100,110]",CECO,EPI,0.311,0,9,17,40,57,7,133,86,1,268.9,296.4,290.3,NA,0.504,1,2020_October,2020,October,7.4677,7.7115,0.2438,2,107.4008811,107.4008811,"(100,110]",2020_October,0.61,Dry,1,31,1.4285714285714286,hydrated,"(105,110]","(100,110]","(100,120]",27.5,0.968384879725086,1.074008811,30.630434782608695,11.82467824743842,-0.311,seki
2020_October_CECO_2.1_6,2020_October_CECO_2.1,2.1,6,"2020_October_EPI_CECO_(60,70]",CECO,EPI,3.995,0,4,12,10,22,3,124,111,1,271.9,291.7,257.7,NA,0.4205,1,2020_October,2020,October,7.5347,7.7406,0.2059,2,63.10144039,63.10144039,"(60,70]",2020_October,0.61,Dry,1,64,3.3333333333333335,moderate,"(60,65]","(60,70]","(60,80]",19.80000000000001,0.973399994832442,0.6310144039,36.59397765905779,14.46053630009166,-0.311,seki
2020_October_CECO_2.2_1,2020_October_CECO_2.2,2.2,1,"2020_October_EPI_CECO_(110,120]",CECO,EPI,0.199,0,5,6,30,36,12,110,68,1,250.6,294.1,268.1,NA,0.5155,1,2020_October,2020,October,7.4614,7.7623,0.3009,2,113.4615385,113.4615385,"(110,120]",2020_October,0.61,Dry,1,14,0.8333333333333334,hydrated,"(110,115]","(110,120]","(100,120]",43.50000000000003,0.9612357162181312,1.134615385,24.796942505815885,12.450753064626555,-0.199,seki
2020_October_CECO_2.2_3,2020_October_CECO_2.2,2.2,3,"2020_October_EPI_CECO_(60,70]",CECO,EPI,3.898,0,11,5,32,37,11,68,25,1,272.7,336.7,278.2,NA,0.4106,1,2020_October,2020,October,12.3457,12.4841,0.1384,2,68.0432645,68.0432645,"(60,70]",2020_October,0.61,Dry,1,64,0.9090909090909092,moderate,"(65,70]","(60,70]","(60,80]",64,0.9889138984788652,0.6804326450000001,89.20303468208094,14.390578667819277,-0.199,seki
2020_October_CECO_2.3_3,2020_October_CECO_2.3,2.3,3,"2020_October_EPI_CECO_(80,90]",CECO,EPI,2.983,0,0.5,3,39,42,1,102,62,1,277.4,301.2,297.6,NA,0.5076,1,2020_October,2020,October,12.5409,12.789,0.2481,2,81.45108339,81.45108339,"(80,90]",2020_October,0.61,Dry,1,57,10,moderate,"(80,85]","(80,90]","(80,100]",23.80000000000001,0.9806005160684964,0.8145108338999999,50.547762998790816,9.876508614358547,-0.107,seki
2020_October_CECO_2.3_4,2020_October_CECO_2.3,2.3,4,"2020_October_EPI_CECO_(70,80]",CECO,EPI,4.046,0,10.5,9,18,27,5,112,89,1,272.1,291.1,277.5,NA,0.4615,1,2020_October,2020,October,12.4681,12.6459,0.1778,2,73.10855263,73.10855263,"(70,80]",2020_October,0.61,Dry,1,33,2,moderate,"(70,75]","(70,80]","(60,80]",19,0.9859401070702758,0.7310855263,70.12429696287964,16.004444365393123,-0.107,seki
2020_October_CECO_2.4_1,2020_October_CECO_2.4,2.4,1,"2020_October_EPI_CECO_(120,130]",CECO,EPI,0.169,0,4,16,25,41,9,81,47,1,267.1,282.5,267.8,NA,0.4337,1,2020_October,2020,October,7.4788,7.7868,0.308,2,123.5459286,123.5459286,"(120,130]",2020_October,0.61,Dry,1,50,1.1111111111111112,hydrated,"(120,125]","(120,130]","(120,140]",15.399999999999975,0.9604458827759798,1.235459286,24.28181818181818,11.485693808449827,-0.169,seki
2020_October_CECO_2.4_5,2020_October_CECO_2.4,2.4,5,"2020_October_EPI_CECO_(80,90]",CECO,EPI,4.574,0,6,7,33,40,15,208,160,1,265.9,341.9,264.9,NA,0.5,1,2020_October,2020,October,7.479,7.6657,0.1867,2,80.06003431,80.06003431,"(80,90]",2020_October,0.61,Dry,1,57,0.6666666666666666,moderate,"(80,85]","(80,90]","(80,100]",76,0.9756447552082652,0.8006003431000001,40.058918050348154,12.3557675460286,-0.169,seki
