model.spp.gr.sample,individual,sample,round,model.spp.gr,spp,model,mpa,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,ignition_no_double,prop.ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,fh_nas_imputed
"2020_October_HP_ARPA_(120,130]_1.4",2020_October_ARPA_1.4,1.4,4,"2020_October_HP_ARPA_(120,130]",ARPA,HP,0.743,0,31,41,0.5,41,46,135,89,1,256.3,332.3,278.8,NA,4.9927,0,2020_October,2020,October,7.5529,7.9389,0.386,1,7.2429,4,124.516129,124.516129,"(120,130]",2020_October,0.61,Dry,1,90,0.21739130434782608,hydrated,"(120,125]","(120,130]","(120,140]",76,0.9513786544735416,1.24516129,19.567098445595853,4.749948208190052,0.24275179180994844,1.270564584,10.214003164556962,98.00062945875406,1.9993705412459377,-0.134,25.770527258416152,3.652345,6.52638695018791,28.421362525011865,9.684316119633673,18.737046405378194,8.631673063151752,8.631673063151752,0.1052643056481921,31
"2020_October_HP_ARPA_(40,50]_1.4",2020_October_ARPA_1.4,1.4,3,"2020_October_HP_ARPA_(40,50]",ARPA,HP,3.377,0,29,32,0.5,32,20,129,109,1,235.6,263.6,238.5,NA,2.8179,0,2020_October,2020,October,7.5363,7.6928,0.1565,1,7.1846,4,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,100,0.5,dry,"(40,45]","(40,50]","(40,60]",28.00000000000003,0.9796563019966722,0.4449815183,48.155271565495205,2.7605734933964223,0.05732650660357752,1.270564584,10.214003164556962,35.02234549141187,64.97765450858813,-0.134,29.401697144999932,3.652345,10.505063556312123,46.72942064704358,7.244871418146292,39.484549228897286,11.591794269034066,11.591794269034066,0.18112178545365729,29
"2020_October_HP_ARPA_(120,130]_1.4",2020_October_ARPA_1.4,1.4,2,"2020_October_HP_ARPA_(120,130]",ARPA,HP,2.047,0,36,143,0.5,50,10,138,128,1,218.5,234.9,231.6,NA,4.0073,0,2020_October,2020,October,7.7463,8.5047,0.7584,1,7.1494,6,127.0564584,127.0564584,"(120,130]",2020_October,0.61,Dry,1,90,1,hydrated,"(125,130]","(120,130]","(120,140]",16.400000000000006,0.9108257786870789,1.270564584,10.214003164556962,3.6499521429327313,0.35734785706726857,1.270564584,10.214003164556962,100,0,-0.134,23.70398704961828,3.652345,9.863143019479168,37.80871490800348,2.7397619498553247,35.06895295814815,39.17859588293114,13.698809749276622,0.13698809749276622,36
"2020_October_HP_ARPA_(80,90]_1.4",2020_October_ARPA_1.4,1.4,7,"2020_October_HP_ARPA_(80,90]",ARPA,HP,4.931,0,24,31,0.5,31,27,241,214,1,224,224.7,221,NA,2.1549,0,2020_October,2020,October,7.7187,8.1524,0.4337,1,7.2024,1,84.00154949,84.00154949,"(80,90]",2020_October,0.61,Dry,1,90,0.37037037037037035,moderate,"(80,85]","(80,90]","(80,100]",0.6999999999999886,0.9468009420538737,0.8400154949,17.797325340096844,2.0402613500318925,0.11463864996810758,1.270564584,10.214003164556962,66.11356128434319,33.88643871565681,-0.134,28.61606512236918,3.652345,11.763198866471123,118.12212195081419,13.233598724780013,104.88852322603418,15.194131869191867,15.194131869191867,0.24506664305148174,24
"2020_October_HP_ARPA_(90,100]_1.4",2020_October_ARPA_1.4,1.4,5,"2020_October_HP_ARPA_(90,100]",ARPA,HP,4.063,0,28,43,0.5,43,25,281,256,1,246.4,263.7,240.7,NA,3.7797,0,2020_October,2020,October,12.4718,12.8324,0.3606,1,12.1054,4,98.41703057,98.41703057,"(90,100]",2020_October,0.61,Dry,1,85,0.4,hydrated,"(95,100]","(90,100]","(80,100]",17.299999999999983,0.971899255010754,0.9841703057,34.58624514697726,3.6734876141641473,0.1062123858358528,1.270564584,10.214003164556962,77.45928999544662,22.540710004553375,-0.134,24.417735168248818,3.652345,7.622184403736182,76.49406490892382,6.805521789050163,69.68854311987366,11.70549747716628,11.70549747716628,0.13611043578100324,28
"2020_October_HP_ARPA_(40,50]_1.4",2020_October_ARPA_1.4,1.4,8,"2020_October_HP_ARPA_(40,50]",ARPA,HP,10,no lfm,36,43,0.5,43,10,271,261,1,240.8,275.5,241.5,NA,2.8179,0,2020_October,2020,October,7.5363,7.6928,0.1565,1,0,2,NA,41.581418092498794,"(40,50]",2020_October,0.61,Dry,1,100,1,dry,"(40,45]","(40,50]","(40,60]",34.69999999999999,0.9796563019966722,0.41581418092498795,48.155271565495205,2.7605734933964223,0.05732650660357752,1.270564584,10.214003164556962,32.7267252811281,67.2732747188719,-0.134,25.985892163833853,3.652345,13.040768552663325,98.16800771588225,3.622435709073146,94.54557200680911,15.576473549014526,15.576473549014526,0.18112178545365729,36
"2020_October_HP_ARPA_(90,100]_1.5",2020_October_ARPA_1.5,1.5,5,"2020_October_HP_ARPA_(90,100]",ARPA,HP,2.108,0,31,48,0.5,48,33,129,96,1,245.3,337.2,239.9,NA,4.067,0,2020_October,2020,October,12.7318,13.1749,0.4431,1,12.2864,2,99.48361024,99.48361024,"(90,100]",2020_October,0.61,Dry,1,85,0.30303030303030304,hydrated,"(95,100]","(90,100]","(80,100]",91.89999999999998,0.9663678661697622,0.9948361024000001,28.733468742947416,3.9302181117124233,0.13678188828757687,1.438068756,1.1822415707356981,69.17861877252273,30.821381227477275,-0.084,23.414388629474583,3.652345,7.8876029571023185,32.82260585374836,8.396480567237951,24.426125286510405,12.213062643255203,12.213062643255203,0.12721940253390837,31
"2020_October_HP_ARPA_(140,150]_1.5",2020_October_ARPA_1.5,1.5,4,"2020_October_HP_ARPA_(140,150]",ARPA,HP,1.382,0,21,51,0.5,51,20,229,157,1,239.1,270.2,246.6,NA,3.4052,0,2020_October,2020,October,7.5942,8.1631,0.5689,1,7.1986,22,143.8068756,143.8068756,"(140,150]",2020_October,0.61,Dry,1,100,0.1388888888888889,hydrated,"(140,145]","(140,150]","(140,160]",31.099999999999994,0.9303083387438595,1.438068756,13.348918966426437,3.1678859550905902,0.23731404490940955,1.438068756,1.1822415707356981,100,0,-0.084,20.552782937456275,3.652345,6.629026517275454,72.28795583124186,6.3133585878813845,49.55986491486887,16.099064399097532,16.099064399097532,0.15783396469703462,21
"2020_October_HP_ARPA_(110,120]_1.5",2020_October_ARPA_1.5,1.5,2,"2020_October_HP_ARPA_(110,120]",ARPA,HP,0.998,0,35,83,0.5,83,14,172,158,1,224.5,247.6,221.5,NA,3.3096,0,2020_October,2020,October,7.5855,8.0201,0.4346,1,7.2231,2,119.9227373,119.9227373,"(110,120]",2020_October,0.61,Dry,1,90,0.7142857142857143,hydrated,"(115,120]","(110,120]","(100,120]",23.099999999999994,0.9458111494869141,1.199227373,17.45398067188219,3.130256580341891,0.17934341965810896,1.438068756,1.1822415707356981,83.39151852069025,16.608481479309745,-0.084,17.32987996289332,3.652345,11.181192053009676,54.94757237479041,4.472476821203871,50.47509555358654,26.515398297137235,26.515398297137235,0.15973131504299537,35
"2020_October_HP_ARPA_(120,130]_1.5",2020_October_ARPA_1.5,1.5,1,"2020_October_HP_ARPA_(120,130]",ARPA,HP,0.084,0,40,71,0.5,71,35,199,164,1,269.6,324.8,294.3,NA,4.0787,0,2020_October,2020,October,7.4987,7.8318,0.3331,1,7.2324,1,125.0844912,125.0844912,"(120,130]",2020_October,0.61,Dry,1,90,0.2857142857142857,hydrated,"(125,130]","(120,130]","(120,140]",55.19999999999999,0.9574682703848413,1.250844912,22.51185830081057,3.9052258344186526,0.17347416558134787,1.438068756,1.1822415707356981,86.98088368731655,13.019116312683451,-0.084,19.664938770991036,3.652345,10.242685492721206,50.957360326288004,8.962349806131055,41.995010520156946,18.18076674958014,18.18076674958014,0.12803356865901508,40
