individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_PIJE_1.8,1.8,3,"2020_October_EPI_PIJE_(130,140]",PIJE,EPI,3.089,0,17,8,25,33,3,64,36,1,268.2,295.9,281,100,0.4627,1,2020_October,2020,October,12.53,13.0209,0.4909,1,138.048369,138.048369,"(130,140]",2020_October,0.61,Dry,1,33,3.3333333333333335,hydrated,"(135,140]","(130,140]","(120,140]",27.69999999999999,0.962299073028746,1.3804836900000002,25.524546750865756,20.893765524125993,-0.342,seki
2020_October_CECO_1.1,1.1,3,"2020_October_EPI_CECO_(80,90]",CECO,EPI,3.827,0,9,5,27,60,6,117,56,1,268.1,367,326.7,NA,0.7787,1,2020_October,2020,October,12.4064,12.5882,0.1818,1,82.1880651,82.1880651,"(80,90]",2020_October,0.61,Dry,1,57,1.6666666666666667,moderate,"(80,85]","(80,90]","(80,100]",98.89999999999998,0.985557903433374,0.8218806510000001,68.24202420242024,11.626032016933266,-0.486,seki
2020_October_CECO_1.1,1.1,8,"2020_October_EPI_CECO_(50,60]",CECO,EPI,7.354,0,10,6,41,47,4,138,93,1,272.4,323.6,285.8,NA,0.4926,1,2020_October,2020,October,12.5005,12.6903,0.1898,1,51.42237876,51.42237876,"(50,60]",2020_October,0.61,Dry,1,70,2.5,dry,"(50,55]","(50,60]","(40,60]",51.200000000000045,0.9850436947905092,0.5142237876,65.86143308746048,12.92524750997798,-0.486,seki
2020_October_CECO_1.1,1.1,9,"2020_October_EPI_CECO_(50,60]",CECO,EPI,6.78,no lfm,14,6,28,34,9,162,125,1,279.5,332.6,268,NA,0.5569,1,2020_October,2020,October,7.6299,7.8567,0.1984,1,NA,57.86986661688685,"(50,60]",2020_October,0.61,Dry,1,70,1.1111111111111112,dry,"(55,60]","(50,60]","(40,60]",53.10000000000002,0.9711329184008554,0.5786986661688686,38.45715725806452,15.714814878157163,-0.486,seki
2020_October_CECO_1.1,1.1,7,"2020_October_EPI_CECO_(30,40]",CECO,EPI,8.25,0,11,9,19,28,9,169,141,1,268.6,294.9,266.6,NA,0.4911,1,2020_October,2020,October,12.7393,12.9376,0.1983,1,35.65905413,35.65905413,"(30,40]",2020_October,0.61,Dry,1,50,1.1111111111111112,dry,"(35,40]","(30,40]","(20,40]",26.299999999999955,0.9846725822409104,0.3565905413,64.24256177508825,15.956563746218851,-0.486,seki
2020_October_CECO_1.2,1.2,1,"2020_October_EPI_CECO_(120,130]",CECO,EPI,0.152,0,4,5,29,34,2,75,44,1,276.1,315.4,278.85,NA,0.3094,1,2020_October,2020,October,7.3915,7.6188,0.2273,1,124.6845858,124.6845858,"(120,130]",2020_October,0.61,Dry,1,50,5,hydrated,"(120,125]","(120,130]","(120,140]",43.15000000000002,0.9701659053919252,1.246845858,32.51869775626925,12.298851093941058,-0.152,seki
2020_October_CECO_1.2,1.2,4,"2020_October_EPI_CECO_(80,90]",CECO,EPI,3.229,0,8.5,13,19,32,7,119,93,1,270.6,299.5,279.5,NA,0.5768,1,2020_October,2020,October,12.3428,12.8743,0.5315,1,NA,86.71741609544593,"(80,90]",2020_October,0.61,Dry,1,57,1.4285714285714286,moderate,"(85,90]","(80,90]","(80,100]",28.899999999999977,0.9587162020459364,0.8671741609544593,23.22257761053622,14.347012273452355,-0.152,seki
2020_October_CECO_1.3,1.3,5,"2020_October_EPI_CECO_(70,80]",CECO,EPI,4.884,0,4,8,27,35,9,106,70,1,272.7,315.4,258.7,NA,0.4575,1,2020_October,2020,October,7.5218,7.7357,0.2139,1,71.73038229,71.73038229,"(70,80]",2020_October,0.61,Dry,1,33,1.1111111111111112,moderate,"(70,75]","(70,80]","(60,80]",42.69999999999999,0.9723489794071642,0.7173038228999999,35.16503038803179,12.168012252516151,-0.58,seki
2020_October_CECO_1.3,1.3,6,"2020_October_EPI_CECO_(50,60]",CECO,EPI,6.513,0,14.5,7,12,19,9,96,75,1,284,381.7,267.5,NA,0.5044,1,2020_October,2020,October,7.5998,7.8373,0.2375,1,59.03554561,59.03554561,"(50,60]",2020_October,0.61,Dry,1,70,1.1111111111111112,dry,"(55,60]","(50,60]","(40,60]",97.7,0.9696961963941664,0.5903554561,31.999157894736843,19.663160828387714,-0.58,seki
2020_October_CECO_1.3,1.3,3,"2020_October_EPI_CECO_(70,80]",CECO,EPI,2.003,0,7,4,25,29,3,120,92,1,266.1,274.4,239.9,NA,0.5468,1,2020_October,2020,October,12.4299,12.608,0.1781,1,77.26681128,77.26681128,"(70,80]",2020_October,0.61,Dry,1,33,3.3333333333333335,moderate,"(75,80]","(70,80]","(60,80]",8.299999999999955,0.9858740482233502,0.7726681128,69.79169006176305,14.313439433426364,-0.58,seki
